chr sx dx TE BLAST_len TE_len dist_5 dist_3 diff_len
scaffold_1 249328 249383 317_NHF 116 121 0 4 5
scaffold_1 341087 341090 4929_NHF 133 184 50 0 51
scaffold_1 510911 510932 scaffold_9_24110068_24110944 868 877 0 8 9
scaffold_1 1247928 1247961 115_NHF 329 333 3 0 4
scaffold_1 1307523 1307531 scaffold_4_17663223_17664676 1447 1454 3 3 7
scaffold_1 1368547 1368580 scaffold_5_32664836_32665671 788 836 32 15 48
scaffold_1 1622474 1622483 517_NHF 782 819 26 10 37
scaffold_1 1627066 1627062 scaffold_8_16153318_16158110 4751 4793 41 0 42
scaffold_1 1811295 1811293 scaffold_5_35961711_35962597 796 887 7 83 91
scaffold_1 1923685 1923708 scaffold_3_10927246_10928473 1191 1228 10 26 37
scaffold_1 1925651 1925645 scaffold_9_8608208_8609158 950 951 0 0 1
scaffold_1 2051486 2051526 scaffold_2_32374872_32375963 1075 1092 13 3 17
scaffold_1 2067358 2067368 scaffold_3_28626125_28631538 5410 5414 0 3 4
scaffold_1 2214752 2214771 scaffold_2_34445450_34447560 2110 2111 0 0 1
scaffold_1 2227798 2227803 scaffold_5_7588951_7598676 9721 9726 0 4 5
scaffold_1 4306295 4306304 scaffold_2_6251220_6252258 955 1039 70 13 84
scaffold_1 4363708 4363732 scaffold_1_15541075_15553392 12314 12318 3 0 4
scaffold_1 4395393 4395466 422_NHF 332 335 2 0 3
scaffold_1 4917994 4918104 scaffold_7_13557306_13560488 2303 3183 839 40 880
scaffold_1 4995350 4995344 115_NHF 330 333 2 0 3
scaffold_1 5090616 5090629 scaffold_2_5314591_5317554 2778 2964 176 9 186
scaffold_1 5206385 5206459 scaffold_3_24306323_24307564 809 1242 394 38 433
scaffold_1 5551738 5551782 701_NHF 771 1093 314 7 322
scaffold_1 5619134 5619174 scaffold_3_35133775_35169948 35364 36174 666 143 810
scaffold_1 5935777 5935880 628_NHF 376 448 0 71 72
scaffold_1 5981777 5982080 scaffold_5_8419290_8420591 786 1302 48 467 516
scaffold_1 6013166 6013171 scaffold_9_26607599_26620073 12474 12475 0 0 1
scaffold_1 6421954 6421965 817_NHF 362 388 9 16 26
scaffold_1 6537640 6537848 scaffold_5_21323690_21335503 6696 11814 2203 2914 5118
scaffold_1 6765982 6765984 scaffold_1_6588801_6593510 4701 4710 0 8 9
scaffold_1 6795031 6795253 scaffold_1901_1423_3044 1149 1622 472 0 473
scaffold_1 6853719 6853722 scaffold_5_39620779_39626120 5280 5342 29 32 62
scaffold_1 7369709 7369784 scaffold_8_24077606_24086836 8591 9231 323 316 640
scaffold_1 7958915 7959027 scaffold_3_27944680_27946104 1424 1425 0 0 1
scaffold_1 8227886 8227892 scaffold_1_19630566_19632230 1541 1665 57 66 124
scaffold_1 8401008 8401019 scaffold_2_13151182_13153814 1434 2633 1136 62 1199
scaffold_1 8538702 8538718 9_NHF 605 611 0 5 6
scaffold_1 8573059 8573056 scaffold_4_9163442_9165318 1844 1877 0 32 33
scaffold_1 8576179 8576188 218_NHF 337 342 1 3 5
scaffold_1 8592989 8593208 scaffold_8_16153318_16158110 4783 4793 9 0 10
scaffold_1 8635508 8635504 scaffold_8_9814568_9819672 4912 5105 192 0 193
scaffold_1 8950625 8950731 scaffold_1_8927770_8957464 22303 29695 610 6781 7392
scaffold_1 9717720 9717717 scaffold_1_3485318_3486645 1270 1328 0 57 58
scaffold_1 9776665 9776682 340_NHF 767 1127 154 205 360
scaffold_1 10118679 10118793 105_NHF 721 1014 111 181 293
scaffold_1 10472535 10472578 scaffold_9_19355788_19371736 13716 15949 1511 721 2233
scaffold_1 11068771 11068776 scaffold_5_7588951_7598676 9722 9726 0 3 4
scaffold_1 12127642 12127927 scaffold_3_20823520_20834537 9753 11018 681 583 1265
scaffold_1 12212059 12212050 scaffold_6_13468724_13473148 4420 4425 4 0 5
scaffold_1 12405915 12405950 scaffold_3_24306323_24307564 861 1242 357 23 381
